User ID,File Name,Camera View,Activity Type,St,Lt,Label,Appearance Block,,,Start Time,End Time
,,Rear_view,Distracted Behavior,6:51,6:54,10,Hat,,,0:06:51,0:06:54
,,Rear_view,Distracted Behavior,7:24,7:39,16,Hat,,,0:07:24,0:07:39
,,Rear_view,Distracted Behavior,8:06,8:35,6,Hat,,,0:08:06,0:08:35
,,Rear_view,Distracted Behavior,8:36,8:44,12,Hat,,,0:08:36,0:08:44
,,Rear_view,Distracted Behavior,9:04,9:12,13,Hat,,,0:09:04,0:09:12
,Dashboard_user_id_24491_0,Dashboard,Distracted Behavior,0:00,2:00,N/A,No,,,0:00:00,0:02:00
,,Dashboard,Distracted Behavior,2:06,2:26,3,No,,,0:02:06,0:02:26
,,Dashboard,Distracted Behavior,2:51,3:28,2,No,,,0:02:51,0:03:28
,,Dashboard,Distracted Behavior,3:32,3:36,8,No,,,0:03:32,0:03:36
,,Dashboard,Distracted Behavior,3:53,4:25,5,No,,,0:03:53,0:04:25
,,Dashboard,Distracted Behavior,4:28,4:34,11,No,,,0:04:28,0:04:34
,,Dashboard,Distracted Behavior,4:53,5:22,17,No,,,0:04:53,0:05:22
,,Dashboard,Distracted Behavior,5:32,5:36,7,No,,,0:05:32,0:05:36
,,Dashboard,Distracted Behavior,5:58,6:26,15,No,,,0:05:58,0:06:26
,,Dashboard,Distracted Behavior,6:31,7:02,9,No,,,0:06:31,0:07:02
,,Dashboard,Distracted Behavior,7:03,7:30,0,No,,,0:07:03,0:07:30
,,Dashboard,Distracted Behavior,7:33,7:49,4,No,,,0:07:33,0:07:49
,,Dashboard,Distracted Behavior,8:00,8:20,1,No,,,0:08:00,0:08:20
,,Dashboard,Distracted Behavior,8:25,8:29,10,No,,,0:08:25,0:08:29
,,Dashboard,Distracted Behavior,9:14,9:39,16,No,,,0:09:14,0:09:39
,,Dashboard,Distracted Behavior,9:41,10:05,6,No,,,0:09:41,0:10:05
,,Dashboard,Distracted Behavior,10:06,10:25,12,No,,,0:10:06,0:10:25
,,Dashboard,Distracted Behavior,10:38,10:50,13,No,,,0:10:38,0:10:50
,Dashboard_user_id_24491_1,Dashboard,Distracted Behavior,0:00,0:17,N/A,Hat,,,0:00:00,0:00:17
,,Dashboard,Distracted Behavior,0:18,0:45,3,Hat,,,0:00:18,0:00:45
,,Dashboard,Distracted Behavior,0:45,0:54,14,Hat,,,0:00:45,0:00:54
,,Dashboard,Distracted Behavior,1:14,1:45,2,Hat,,,0:01:14,0:01:45
,,Dashboard,Distracted Behavior,1:53,1:57,8,Hat,,,0:01:53,0:01:57
,,Dashboard,Distracted Behavior,2:17,2:46,5,Hat,,,0:02:17,0:02:46
,,Dashboard,Distracted Behavior,2:53,2:57,11,Hat,,,0:02:53,0:02:57
,,Dashboard,Distracted Behavior,3:16,3:47,17,Hat,,,0:03:16,0:03:47
,,Dashboard,Distracted Behavior,3:54,3:59,7,Hat,,,0:03:54,0:03:59
,,Dashboard,Distracted Behavior,4:22,4:34,15,Hat,,,0:04:22,0:04:34
,,Dashboard,Distracted Behavior,4:45,4:49,9,Hat,,,0:04:45,0:04:49
,,Dashboard,Distracted Behavior,5:03,5:18,0,Hat,,,0:05:03,0:05:18
,,Dashboard,Distracted Behavior,5:56,6:04,4,Hat,,,0:05:56,0:06:04
,,Dashboard,Distracted Behavior,6:26,6:39,1,Hat,,,0:06:26,0:06:39
,,Dashboard,Distracted Behavior,6:51,6:54,10,Hat,,,0:06:51,0:06:54
,,Dashboard,Distracted Behavior,7:24,7:39,16,Hat,,,0:07:24,0:07:39
,,Dashboard,Distracted Behavior,8:06,8:35,6,Hat,,,0:08:06,0:08:35
,,Dashboard,Distracted Behavior,8:36,8:44,12,Hat,,,0:08:36,0:08:44
,,Dashboard,Distracted Behavior,9:04,9:12,13,Hat,,,0:09:04,0:09:12
